Timestamp,Permanent SKU,Item Number,Storage Location,Item Name,Brand,Category,Size,Color,Pattern,Style Features,Material,Country of Manufacture,Condition,Condition Notes,Cost of Goods,90 Day eBay Sold Count,Current eBay Active Count,90 Day Sell-Through Rate,Sold Comp Low,Realistic Sold Value,Sold Comp High,Market Range,Inventory Status,Listing Platforms,Department,SEO Listing Title,SEO Listing Description,Style Tag 1,Style Tag 2,Style Tag 3,eBay Status,eBay Priority,eBay Next Action
2026-06-22,A1-MD-0001,0001,A1,Nike shorts,Nike,Athletic Shorts,Not confirmed,Not confirmed,Not confirmed,Not confirmed,Not confirmed,Not confirmed,Not confirmed,"Original photos/details are not available in this chat; verify size, gender, fabric, and condition before listing.",,,,,$8.00,$12.00,$18.00,"Analyst estimate; missing photos, size, gender, material and condition. Low confidence.",Unlisted,Poshmark / eBay,Not Confirmed,Nike Athletic Shorts Performance Activewear,"Nike athletic shorts. Size, color, material, exact features, and condition are not yet confirmed; verify the item and measurements before publishing.",Athletic,Activewear,Sporty,#REF!,#REF!,#REF!
2026-06-22,A1-MD-0002,0002,A1,Adidas black logo-print capri athletic leggings,Adidas,Women's Athletic Capri Leggings,Not confirmed,Black with white and dark-gray logos,Solid with oversized vertical Adidas wordmark,Wide stretch waistband; capri/cropped length; small white Adidas performance logo near right hip; oversized dark-gray vertical adidas wordmark down right leg; fitted athletic silhouette,Not confirmed,Not confirmed,Pre-owned; full inspection pending,"Current front image matches the existing Adidas leggings record. Front appears black with a small white Adidas logo at the hip and a large dark-gray vertical adidas wordmark on the right leg. Back view, size tag, material/care tag, measurements, and complete flaw inspection are still required before final listing and market research.",,Pending full four-image batch,Pending full four-image batch,Pending — sold count divided by active count,$8.00,$14.00,$20.00,"Analyst estimate; missing back photo, size/care tags and measurements. Low confidence.",Needs Review,Poshmark / eBay,Women's Bottoms,Adidas Womens Black Capri Leggings Large Logo Athletic Activewear,"Adidas women's black cropped athletic leggings with a wide waistband, small white performance logo near the hip, and oversized dark-gray vertical adidas wordmark down the right leg. Fitted activewear silhouette. Size, material, country, measurements, and complete condition details remain unconfirmed until the remaining item photos are supplied.",Athletic,Athleisure,Logo,,,
2026-06-22,A1-MD-0003,0003,A1,Columbia Willapa River shorts,Columbia,Outdoor / Fishing Shorts,Not confirmed,Not confirmed,Not confirmed,Willapa River model/name; verify exact style tag,Not confirmed,Not confirmed,Not confirmed,Original photos/details are not available in this chat; department is inferred and should be verified.,,,,,$15.00,$22.00,$30.00,"Analyst estimate based on Columbia outdoor/fishing shorts; exact model, size and condition unverified.",Unlisted,Poshmark / eBay,Men's Bottoms,Columbia Willapa River Men's Outdoor Fishing Shorts,"Columbia Willapa River outdoor shorts. Size, color, material, exact style details, and condition remain unconfirmed; verify the care and style tags before listing.",Outdoor,Fishing,Utility,,,
2026-06-22,A1-MD-0004,0004,A1,Patagonia Baggies shorts,Patagonia,Outdoor Shorts,Not confirmed,Not confirmed,Not confirmed,Baggies product line; verify inseam and liner,Not confirmed,Not confirmed,Not confirmed,"Original photos/details are not available in this chat; verify gender, inseam, liner, size, and condition.",,,,,$25.00,$35.00,$45.00,"Brand/category estimate for used Patagonia Baggies; verify size, inseam, liner and condition.",Unlisted,Poshmark / eBay,Men's Bottoms,Patagonia Baggies Men's Outdoor Shorts,"Patagonia Baggies outdoor shorts. Verify size, inseam, liner, material, gender, and condition before publishing the final listing.",Outdoor,Hiking,Gorpcore,,,
2026-06-22,A1-MD-0005,0005,A1,Vintage America Blues boyfriend jeans,Vintage America Blues,Boyfriend Jeans,Not confirmed,Not confirmed,Not confirmed,Boyfriend fit,Not confirmed,Not confirmed,Not confirmed,"Original photos/details are not available in this chat; verify measurements, wash, rise, material, and condition.",,,,,$12.00,$18.00,$25.00,"Analyst estimate; value depends on size, wash, rise, stretch and condition.",Unlisted,Poshmark / eBay,Women's Bottoms,Vintage America Blues Women's Boyfriend Jeans Relaxed Fit,"Vintage America Blues boyfriend jeans with a relaxed silhouette. Size, wash, rise, material, measurements, and condition must be confirmed before listing.",Casual,Boyfriend,Denim,,,
2026-06-22,A1-MD-0006,0006,A1,Forenza leather jacket,Forenza,Leather Jacket,Not confirmed,Not confirmed,Not confirmed,Leather outerwear; verify genuine leather and construction,Not confirmed,Not confirmed,Not confirmed,"Original photos/details are not available in this chat; verify material tag, gender, measurements, flaws, and lining.",,,,,$20.00,$30.00,$50.00,"Wide analyst estimate; confirm genuine leather, size, department, lining and flaws.",Unlisted,Poshmark / eBay,Other,Forenza Leather Jacket Vintage Outerwear,"Forenza jacket identified as a leather style. Genuine leather, size, department, lining, measurements, and condition are not confirmed and must be verified before publishing.",Vintage,Classic,Minimalist,,,
2026-06-22,A1-MD-0007,0007,A1,New Balance navy running shorts,New Balance,Running Shorts,Not confirmed,Navy,Not confirmed,Running style; verify liner and pockets,Not confirmed,Not confirmed,Not confirmed,"Original photos/details are not available in this chat; verify gender, size, material, and condition.",,,,,$8.00,$12.00,$18.00,"Analyst estimate; confirm size, gender, liner, pockets, fabric and condition.",Unlisted,Poshmark / eBay,Not Confirmed,New Balance Navy Running Shorts Athletic Activewear,"New Balance navy running shorts. Verify size, gender, material, liner, pockets, measurements, and condition before publishing.",Running,Athletic,Sporty,,,
2026-06-23,A1-MD-0008,0008,A1,Lauren Ralph Lauren ribbed lace-up 3/4 sleeve top,Lauren Ralph Lauren,Top / Blouse,M,Peach / Blush Pink,Solid vertical ribbed knit,Lace-up split neckline; fitted silhouette; three-quarter sleeves; ribbed texture; straight hem,Not confirmed,Not confirmed,Good pre-owned; final inspection required,No obvious holes or tears visible in the supplied front/back images. Light wrinkling and minor surface marks or lint may be present; complete stain and fabric inspection before listing.,,,,,$10.00,$15.00,$22.00,"Brand/category estimate; add material, measurements and final flaw inspection.",Unlisted,Poshmark / eBay,Women's Tops,Lauren Ralph Lauren Women's Ribbed Lace-Up 3/4 Sleeve Top M Peach,"Lauren Ralph Lauren women's size M peach-blush ribbed top with a lace-up split neckline, fitted shape, and three-quarter sleeves. Good pre-owned condition with light wrinkling; inspect for minor marks before listing.",Feminine,Preppy,Ribbed,,,
2026-06-23,A1-MD-0009,0009,A1,Under Armour HeatGear loose-fit performance polo,Under Armour,Polo Shirt,M,Teal / Aqua Green,Heathered,Short sleeves; collared neckline; three-button placket; loose fit; HeatGear line; black chest logo; black rear-neck logo; side hem vents,Not confirmed,Not confirmed,Good pre-owned; pending final inspection,"No obvious holes, tears, or major stains visible in the supplied images. Inspect closely for snags, pulls, pilling, deodorant marks, and collar wear.",,,,,$8.00,$13.00,$18.00,"Brand/category estimate; common athletic polo, inspect snags, pilling and collar.",Unlisted,Poshmark / eBay,Men's Tops,Under Armour HeatGear Men's Loose Performance Golf Polo M Teal,"Under Armour HeatGear men's size M teal heathered performance polo with a loose fit, three-button placket, chest logo, rear-neck logo, and side vents. Good pre-owned condition; inspect for snags, pilling, and collar wear.",Athletic,Golf,Performance,,,
2026-06-23,A1-MD-0010,0010,A1,Marvel Captain America all-over-print short-sleeve button-up shirt,Marvel,Casual Button-Down Shirt,M,"Beige / Tan with red, white, and blue graphics",Captain America shield and Avengers-style emblem all-over print,Short sleeves; pointed collar; black button-front closure; chest pocket; licensed Marvel character print,Not confirmed,China,Fair / Damaged,"Visible large tear and heavy fraying on the back-left side near the underarm/side seam, plus visible lower-hem wear or discoloration. Photograph defects closely and disclose them prominently. Newly supplied neck-tag photo confirms Marvel branding, size M, and Made in China.",,,,,$5.00,$8.00,$10.00,Condition-adjusted estimate due to large tear and fraying; list AS IS with close defect photos.,Unlisted,Poshmark / eBay,Men's Tops,Marvel Captain America Men's Button-Up Shirt M All Over Print AS IS,Licensed Marvel men's size M Captain America all-over-print short-sleeve button-up with chest pocket. Fair damaged condition with a large torn and frayed area near the back-left underarm or side seam plus lower-hem wear; sold as-is.,Comic,Geek,Novelty,,,
2026-06-23,A1-MD-0011,0011,A1,Dockers short-sleeve button-down shirt,Dockers,Casual Button-Down Shirt,M,Dark navy,Solid,Short sleeves; button-down collar; gold-tone buttons; chest pocket with embroidered wing logo; curved hem,100% cotton,Indonesia,Good pre-owned; final inspection required,"Light fading or wear may be present around seams and collar. No obvious holes or major stains visible in supplied images; verify buttons, underarms, collar, and hem before listing.",,,,,$8.00,$12.00,$16.00,"Low-confidence sold-comp estimate. Comparable pre-owned Dockers short-sleeve shirts sold around $14.95, while a new-with-tags medium example sold at $19.95. Solid navy used condition likely sells below the stronger examples.",Unlisted,Poshmark / eBay,Men's Tops,Dockers Men's Short Sleeve Button-Down Shirt M Navy 100% Cotton,"Dockers men's size M dark navy short-sleeve button-down shirt in 100% cotton with a button-down collar, gold-tone buttons, chest pocket, and embroidered wing logo. Good pre-owned condition with possible light seam and collar fading.",Classic,Business Casual,Preppy,,,
